Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
35:26.4,0
35:26.6,0
35:26.8,0
35:27.0,0
35:27.2,0
35:27.4,0
35:27.6,0
35:27.8,0
35:28.0,0
35:28.2,0
35:28.4,0
35:28.5,0
35:28.6,0
35:28.8,0
35:29.0,0
35:29.2,0
35:29.4,0
35:29.6,0
35:29.8,0
35:30.0,0
35:30.2,0
35:30.4,0
35:30.6,0
35:30.8,0
35:31.0,0
35:31.2,0
35:31.4,0
35:31.6,0
35:31.8,0
35:32.0,0
35:32.2,0
35:32.4,0
35:32.6,0
35:32.8,0
35:33.0,0
35:33.2,0
35:33.4,0
35:33.6,0
35:33.8,0
35:34.0,0
35:34.2,0
35:34.4,0
35:34.6,0
35:34.8,0
35:35.0,0
35:35.2,0
35:35.4,0
35:35.6,0
35:35.8,0
35:36.0,0
35:36.2,0
35:36.4,0
35:36.6,0
35:36.8,0
35:37.0,0
35:37.2,0
35:37.4,0
35:37.6,0
35:37.8,0
35:38.0,0
35:38.2,0
35:38.4,0
35:38.6,0
35:38.8,0
35:39.0,0
35:39.2,0
35:39.4,0
35:39.6,0
35:39.8,0
35:40.0,0
35:40.2,0
35:40.4,0
35:40.6,0
35:40.8,0
35:41.0,0
35:41.2,0
35:41.4,0
35:41.6,0
35:41.8,0
35:42.0,0
35:42.2,0
35:42.4,0
35:42.6,0
35:42.8,0
35:43.0,0
35:43.2,0
35:43.4,0
35:43.6,0
35:43.8,0
35:44.0,0
35:44.2,0
35:44.4,0
35:44.6,0
35:44.8,0
35:45.0,0
35:45.2,0
35:45.4,0
35:45.6,0
35:45.8,231
35:46.0,452
35:46.2,690
35:46.4,948
35:46.6,1210
35:46.8,1466
35:47.0,1720
35:47.2,1970
35:47.4,2216
35:47.6,2478
35:47.8,2729
35:48.0,2972
35:48.2,3196
35:48.4,3417
35:48.6,3646
35:48.8,3891
35:49.0,4134
35:49.2,4360
35:49.4,4595
35:49.6,4814
35:49.8,5043
35:50.0,5282
35:50.2,5525
35:50.4,5753
35:50.6,5989
35:50.8,6216
35:51.0,6447
35:51.2,6689
35:51.4,6934
35:51.6,7169
35:51.8,7402
35:52.0,7630
35:52.2,7863
35:52.4,8112
35:52.6,8366
35:52.8,8607
35:53.0,8856
35:53.2,9097
35:53.4,9352
35:53.6,9608
35:53.8,9874
35:54.0,10126
35:54.2,10377
35:54.4,10617
35:54.6,10868
35:54.8,11133
35:55.0,11381
35:55.2,11624
35:55.4,11857
35:55.6,12080
35:55.8,12140
35:56.0,12140
35:56.2,12140
35:56.4,12140
35:56.6,12140
35:56.8,12140
35:57.0,12140
35:57.2,12140
35:57.4,12140
35:57.6,12140
35:57.8,12140
35:58.0,12140
35:58.2,12140
35:58.4,12140
35:58.6,12140
35:58.8,12140
35:59.0,11936
35:59.2,11693
35:59.4,11450
35:59.6,11196
35:59.8,10937
36:00.0,10681
36:00.2,10431
36:00.4,10194
36:00.6,9956
36:00.8,9711
36:01.0,9472
36:01.2,9241
36:01.4,9017
36:01.6,8793
36:01.8,8561
36:02.0,8330
36:02.2,8086
36:02.4,7861
36:02.6,7630
36:02.8,7402
36:03.0,7181
36:03.2,6945
36:03.4,6701
36:03.6,6465
36:03.8,6239
36:04.0,6008
36:04.2,5785
36:04.4,5549
36:04.6,5307
36:04.8,5064
36:05.0,4835
36:05.2,4606
36:05.4,4380
36:05.6,4141
