Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
26:20.5,0
26:20.7,0
26:20.9,0
26:21.1,0
26:21.3,0
26:21.5,0
26:21.7,0
26:21.9,0
26:22.1,0
26:22.3,0
26:22.5,0
26:22.7,0
26:22.9,0
26:23.1,0
26:23.3,0
26:23.5,0
26:23.7,0
26:23.9,0
26:24.1,0
26:24.3,0
26:24.5,0
26:24.7,0
26:24.9,0
26:25.1,0
26:25.3,0
26:25.5,0
26:25.7,0
26:25.9,0
26:26.1,0
26:26.3,0
26:26.5,0
26:26.7,0
26:26.9,0
26:27.1,0
26:27.3,0
26:27.5,0
26:27.7,0
26:27.9,0
26:28.1,0
26:28.3,0
26:28.5,0
26:28.7,0
26:28.9,0
26:29.1,0
26:29.3,0
26:29.5,0
26:29.7,0
26:29.9,0
26:30.1,0
26:30.3,0
26:30.5,0
26:30.7,0
26:30.9,0
26:31.1,0
26:31.3,0
26:31.5,0
26:31.7,0
26:31.9,0
26:32.1,0
26:32.3,0
26:32.5,0
26:32.7,0
26:32.9,0
26:33.1,0
26:33.3,0
26:33.5,0
26:33.7,0
26:33.9,0
26:34.1,0
26:34.3,0
26:34.5,0
26:34.7,0
26:34.9,0
26:35.1,0
26:35.3,0
26:35.5,0
26:35.7,0
26:35.9,0
26:36.1,0
26:36.3,0
26:36.5,0
26:36.7,0
26:36.9,0
26:37.1,0
26:37.3,0
26:37.5,0
26:37.7,0
26:37.9,0
26:38.1,0
26:38.3,0
26:38.5,0
26:38.7,0
26:38.9,0
26:39.1,0
26:39.3,0
26:39.5,0
26:39.7,0
26:39.9,4
26:40.1,249
26:40.3,420
26:40.5,652
26:40.7,932
26:40.9,1198
26:41.1,1467
26:41.3,1717
26:41.5,1951
26:41.7,2211
26:41.9,2481
26:42.1,2743
26:42.3,2977
26:42.5,3187
26:42.7,3397
26:42.9,3640
26:43.1,3895
26:43.3,4157
26:43.5,4396
26:43.7,4610
26:43.9,4822
26:44.1,5062
26:44.3,5322
26:44.5,5586
26:44.7,5834
26:44.9,6054
26:45.1,6272
26:45.3,6519
26:45.5,6780
26:45.7,7051
26:45.9,7304
26:46.1,7527
26:46.3,7755
26:46.5,8013
26:46.7,8275
26:46.9,8551
26:47.1,8802
26:47.3,9031
26:47.5,9271
26:47.7,9539
26:47.9,9818
26:48.1,10088
26:48.3,10324
26:48.5,10556
26:48.7,10804
26:48.9,11072
26:49.1,11173
26:49.3,11173
26:49.5,11173
26:49.7,11173
26:49.9,11173
26:50.1,11173
26:50.3,11173
26:50.5,11173
26:50.7,11173
26:50.9,11173
26:51.1,11173
26:51.3,11173
26:51.5,11173
26:51.7,11173
26:51.9,11173
26:52.1,11173
26:52.3,11003
26:52.5,10782
26:52.7,10514
26:52.9,10258
26:53.1,10003
26:53.3,9731
26:53.5,9480
26:53.7,9222
26:53.9,8963
26:54.1,8736
26:54.3,8499
26:54.5,8247
26:54.7,8005
26:54.9,7758
26:55.1,7518
26:55.3,7291
26:55.5,7048
26:55.7,6793
26:55.9,6551
26:56.1,6302
26:56.3,6061
26:56.5,5828
26:56.7,5586
26:56.9,5330
26:57.1,5082
26:57.3,4832
26:57.5,4592
26:57.7,4362
26:57.9,4119
26:58.1,3868
26:58.3,3630
26:58.5,3384
26:58.7,3146
26:58.9,2917
26:59.1,2672
26:59.3,2414
26:59.5,2168
26:59.7,1916
26:59.9,1683
27:00.1,1459
27:00.3,1227
27:00.5,986
27:00.7,756
27:00.9,526
27:01.1,306
27:01.3,110
27:01.5,-80
27:01.7,-141
27:01.9,-140
27:02.1,-140
27:02.3,-140
27:02.5,-140
27:02.7,-140
27:02.9,-140
27:03.1,-140
27:03.3,-140
27:03.5,-140
27:03.7,-140
27:03.9,-140
27:04.1,-140
27:04.3,-140
27:04.5,92
27:04.7,258
27:04.9,470
27:05.1,713
27:05.3,984
27:05.5,1263
27:05.7,1526
27:05.9,1762
27:06.1,1994
27:06.3,2256
27:06.5,2522
27:06.7,2785
27:06.9,3023
27:07.1,3229
27:07.3,3436
27:07.5,3677
27:07.7,3927
27:07.9,4191
27:08.1,4433
27:08.3,4642
27:08.5,4850
27:08.7,5087
27:08.9,5344
27:09.1,5610
27:09.3,5861
27:09.5,6078
27:09.7,6301
27:09.9,6550
27:10.1,6809
27:10.3,7083
27:10.5,7330
27:10.7,7552
27:10.9,7781
27:11.0,8037
27:11.2,8309
27:11.4,8582
27:11.6,8827
27:11.8,9059
27:12.0,9304
27:12.2,9574
27:12.4,9856
27:12.6,10122
27:12.8,10357
27:13.0,10588
27:13.2,10842
27:13.4,11110
27:13.6,11261
27:13.8,11261
27:14.0,11261
27:14.2,11261
27:14.4,11261
27:14.6,11261
27:14.8,11261
27:15.0,11261
27:15.2,11261
27:15.4,11261
27:15.6,11261
27:15.8,11261
27:16.0,11261
27:16.2,11261
27:16.4,11258
27:16.6,10994
27:16.8,10787
27:17.0,10519
27:17.2,10261
27:17.4,10001
27:17.6,9730
27:17.8,9463
27:18.0,9206
27:18.2,8959
27:18.4,8734
27:18.6,8495
27:18.8,8242
27:19.0,7996
27:19.2,7754
27:19.4,7512
27:19.6,7284
27:19.8,7044
27:20.0,6789
27:20.2,6539
27:20.4,6296
27:20.6,6053
27:20.8,5822
27:21.0,5574
27:21.2,5318
27:21.4,5069
27:21.6,4819
27:21.8,4583
27:22.0,4353
27:22.2,4115
27:22.4,3857
27:22.6,3615
27:22.8,3370
27:23.0,3136
27:23.2,2909
27:23.4,2667
27:23.6,2403
27:23.8,2158
27:24.0,1909
27:24.2,1674
27:24.4,1452
27:24.6,1226
27:24.8,978
27:25.0,752
27:25.2,522
27:25.4,301
27:25.6,107
27:25.8,-81
27:26.0,-114
27:26.2,-114
27:26.4,-114
27:26.6,-114
27:26.8,-114
27:27.0,-114
27:27.2,-114
27:27.4,-114
27:27.6,-114
27:27.8,-114
27:28.0,-114
27:28.2,-114
27:28.4,-114
27:28.6,-60
27:28.8,163
27:29.0,362
27:29.2,576
27:29.4,839
27:29.6,1114
27:29.8,1388
27:30.0,1638
27:30.2,1875
27:30.4,2118
27:30.6,2386
27:30.8,2657
27:31.0,2908
27:31.2,3124
27:31.4,3330
27:31.6,3552
27:31.8,3800
27:32.0,4059
27:32.2,4315
27:32.4,4538
27:32.6,4745
27:32.8,4964
27:33.0,5214
27:33.2,5478
27:33.4,5741
27:33.6,5970
27:33.8,6189
27:34.0,6421
27:34.2,6679
27:34.4,6954
27:34.6,7211
27:34.8,7442
27:35.0,7667
27:35.2,7909
27:35.4,8172
27:35.6,8444
27:35.8,8707
27:36.0,8941
27:36.2,9171
27:36.4,9434
27:36.6,9707
27:36.8,9989
27:37.0,10239
27:37.2,10470
27:37.4,10707
27:37.6,10970
27:37.8,11243
27:38.0,11284
27:38.2,11284
27:38.4,11284
27:38.6,11284
27:38.8,11284
27:39.0,11284
27:39.2,11284
27:39.4,11284
27:39.6,11284
