Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
18:38.5,0
18:38.7,0
18:38.9,0
18:39.1,0
18:39.3,0
18:39.5,0
18:39.7,0
18:39.9,0
18:40.1,0
18:40.3,0
18:40.5,0
18:40.7,0
18:40.9,0
18:41.1,0
18:41.3,0
18:41.5,0
18:41.7,0
18:41.9,0
18:42.1,0
18:42.3,0
18:42.5,0
18:42.7,0
18:42.9,0
18:43.1,0
18:43.3,0
18:43.5,0
18:43.7,0
18:43.9,0
18:44.1,0
18:44.3,0
18:44.5,0
18:44.7,0
18:44.9,0
18:45.1,0
18:45.3,0
18:45.5,0
18:45.7,0
18:45.9,0
18:46.1,0
18:46.3,0
18:46.5,0
18:46.7,0
18:46.9,0
18:47.1,0
18:47.3,0
18:47.5,0
18:47.7,0
18:47.9,0
18:48.1,0
18:48.3,0
18:48.5,0
18:48.7,0
18:48.9,0
18:49.1,0
18:49.3,0
18:49.5,0
18:49.7,0
18:49.9,0
18:50.1,0
18:50.3,0
18:50.5,0
18:50.7,0
18:50.9,0
18:51.1,0
18:51.3,0
18:51.5,0
18:51.7,0
18:51.9,0
18:52.1,0
18:52.3,0
18:52.5,0
18:52.7,0
18:52.9,0
18:53.1,0
18:53.3,0
18:53.5,0
18:53.7,0
18:53.9,0
18:54.1,0
18:54.3,0
18:54.5,0
18:54.7,0
18:54.9,0
18:55.1,0
18:55.3,0
18:55.5,0
18:55.7,0
18:55.9,0
18:56.1,0
18:56.3,0
18:56.5,0
18:56.7,0
18:56.9,0
18:57.1,0
18:57.3,0
18:57.5,0
18:57.7,0
18:57.9,0
18:58.1,0
18:58.3,0
18:58.5,0
18:58.7,0
18:58.9,0
18:59.1,0
18:59.3,0
18:59.5,0
18:59.7,0
18:59.9,0
19:00.1,0
19:00.3,0
19:00.5,151
19:00.7,356
19:00.9,532
19:01.1,740
19:01.3,956
19:01.5,1165
19:01.7,1365
19:01.9,1571
19:02.1,1774
19:02.3,1971
19:02.5,2180
19:02.7,2398
19:02.9,2598
19:03.1,2785
19:03.3,2981
19:03.5,3158
19:03.7,3339
19:03.9,3526
19:04.1,3725
19:04.3,3923
19:04.5,4104
19:04.7,4288
19:04.9,4472
19:05.1,4657
19:05.3,4840
19:05.5,5033
19:05.7,5234
19:05.9,5429
19:06.1,5619
19:06.3,5805
19:06.5,5991
19:06.7,6180
19:06.9,6369
19:07.1,6573
19:07.3,6774
19:07.5,6968
19:07.7,7157
19:07.9,7352
19:08.1,7541
19:08.3,7729
19:08.5,7930
19:08.7,8133
19:08.9,8335
19:09.1,8530
19:09.3,8733
19:09.5,8928
19:09.7,9129
19:09.9,9332
19:10.1,9544
19:10.3,9754
19:10.5,9957
19:10.7,10155
19:10.9,10347
19:11.1,10541
19:11.3,10739
19:11.5,10953
19:11.7,11160
19:11.9,11352
19:12.1,11544
19:12.3,11727
19:12.5,11869
19:12.7,11864
19:12.9,11864
19:13.1,11864
19:13.3,11864
19:13.5,11864
19:13.7,11864
19:13.9,11864
19:14.1,11864
19:14.3,11864
19:14.5,11864
19:14.7,11864
19:14.9,11864
19:15.1,11864
19:15.3,11864
19:15.5,11864
19:15.7,11815
19:15.9,11612
19:16.1,11438
19:16.3,11251
19:16.5,11051
19:16.7,10849
19:16.9,10651
19:17.1,10444
19:17.3,10260
19:17.5,10081
19:17.7,9905
19:17.9,9718
19:18.1,9525
19:18.3,9346
19:18.5,9176
19:18.7,9006
19:18.9,8840
19:19.1,8677
19:19.3,8514
19:19.5,8349
19:19.7,8169
19:19.9,7984
19:20.1,7803
19:20.3,7635
19:20.5,7465
19:20.7,7297
19:20.9,7136
19:21.1,6966
19:21.3,6784
19:21.5,6595
19:21.7,6413
19:21.9,6240
19:22.1,6063
19:22.3,5893
19:22.5,5731
19:22.7,5556
19:22.9,5373
19:23.1,5190
19:23.3,5005
19:23.5,4831
19:23.7,4651
19:23.9,4483
19:24.1,4328
19:24.3,4168
19:24.5,3995
19:24.7,3812
19:24.9,3624
19:25.1,3448
19:25.2,3267
19:25.4,3093
19:25.6,2924
19:25.8,2754
19:26.0,2575
19:26.2,2387
19:26.4,2193
19:26.6,2012
19:26.8,1834
19:27.0,1665
19:27.2,1504
19:27.4,1356
19:27.6,1199
19:27.8,1033
19:28.0,856
19:28.2,691
19:28.4,537
19:28.6,383
19:28.8,241
19:29.0,221
19:29.2,221
19:29.4,221
19:29.6,221
19:29.8,221
19:30.0,221
19:30.2,221
19:30.4,221
19:30.6,221
19:30.8,221
19:31.0,221
19:31.2,221
19:31.4,221
19:31.6,221
19:31.8,221
19:32.0,221
19:32.2,221
19:32.4,221
19:32.6,221
19:32.8,221
19:33.0,221
19:33.2,221
19:33.4,221
19:33.6,221
19:33.8,311
19:34.0,518
19:34.2,702
19:34.4,912
19:34.6,1114
19:34.8,1304
19:35.0,1502
19:35.2,1698
19:35.4,1896
19:35.6,2095
19:35.8,2310
19:36.0,2515
19:36.2,2705
19:36.4,2891
19:36.6,3067
19:36.8,3235
19:37.0,3407
19:37.2,3592
19:37.4,3783
19:37.6,3966
19:37.8,4137
19:38.0,4310
19:38.2,4484
19:38.4,4658
19:38.6,4831
19:38.8,5012
19:39.0,5207
19:39.2,5394
19:39.4,5573
19:39.6,5751
19:39.8,5931
19:40.0,6110
19:40.2,6287
19:40.4,6479
19:40.6,6674
19:40.8,6868
19:41.0,7053
19:41.2,7231
19:41.4,7411
19:41.6,7598
19:41.8,7783
19:42.0,7987
19:42.2,8181
19:42.4,8381
19:42.6,8566
19:42.8,8761
19:43.0,8949
19:43.2,9137
19:43.4,9340
19:43.6,9549
19:43.8,9754
19:44.0,9946
19:44.2,10142
19:44.4,10326
19:44.6,10514
19:44.8,10709
19:45.0,10911
19:45.2,11116
19:45.4,11301
19:45.6,11487
19:45.8,11664
19:46.0,11844
19:46.2,12017
19:46.4,12050
19:46.6,12049
19:46.8,12049
19:47.0,12049
19:47.2,12049
19:47.4,12049
19:47.6,12049
19:47.8,12049
19:48.0,12049
19:48.2,12049
19:48.4,12049
19:48.6,12049
19:48.8,12049
19:49.0,12049
19:49.2,12049
19:49.4,12049
19:49.6,12049
19:49.8,12049
19:50.0,12049
19:50.2,12049
19:50.4,12049
19:50.6,12049
19:50.8,12049
19:51.0,12049
19:51.2,12049
19:51.4,12049
19:51.6,12049
19:51.8,12049
19:52.0,11935
19:52.2,11737
19:52.4,11555
19:52.6,11367
19:52.8,11168
19:53.0,10956
19:53.2,10752
19:53.4,10551
19:53.6,10350
19:53.8,10160
19:54.0,9980
19:54.2,9795
19:54.4,9607
19:54.6,9416
19:54.8,9236
19:55.0,9056
19:55.2,8883
19:55.4,8707
19:55.6,8536
19:55.8,8359
19:56.0,8178
19:56.2,7987
19:56.4,7806
19:56.6,7625
19:56.8,7447
19:57.0,7271
19:57.2,7097
19:57.4,6920
19:57.6,6737
19:57.8,6545
19:58.0,6360
19:58.2,6179
19:58.4,5995
19:58.6,5821
19:58.8,5644
19:59.0,5466
19:59.2,5278
19:59.4,5084
19:59.6,4901
19:59.8,4718
20:00.0,4541
20:00.2,4372
20:00.4,4202
20:00.6,4028
20:00.8,3844
20:01.0,3650
20:01.2,3468
20:01.4,3282
20:01.6,3107
20:01.8,2928
20:02.0,2749
20:02.2,2567
20:02.4,2375
20:02.6,2176
20:02.8,1992
20:03.0,1808
20:03.2,1634
20:03.4,1470
20:03.6,1311
20:03.8,1140
20:04.0,968
20:04.2,791
20:04.4,616
20:04.6,458
20:04.8,327
20:05.0,327
20:05.2,327
20:05.4,327
20:05.6,327
20:05.8,327
20:06.0,327
20:06.2,327
20:06.4,327
20:06.6,327
20:06.8,327
20:07.0,327
20:07.2,327
20:07.4,327
20:07.6,327
20:07.8,327
20:08.0,327
20:08.2,327
20:08.4,327
20:08.6,327
20:08.8,327
20:09.0,327
20:09.2,327
20:09.4,327
20:09.6,327
20:09.8,327
20:10.0,327
20:10.2,492
20:10.4,704
20:10.6,904
20:10.8,1112
20:11.0,1306
20:11.2,1511
20:11.4,1712
20:11.6,1921
20:11.8,2130
20:12.0,2348
20:12.2,2560
20:12.4,2759
20:12.6,2952
20:12.8,3135
20:13.0,3322
20:13.2,3507
20:13.4,3707
20:13.6,3900
20:13.8,4085
20:14.0,4262
20:14.2,4449
20:14.4,4629
20:14.6,4812
20:14.8,5001
20:15.0,5204
20:15.2,5397
20:15.4,5584
20:15.6,5771
20:15.8,5959
20:16.0,6147
20:16.2,6336
20:16.4,6541
20:16.6,6741
20:16.8,6939
20:17.0,7126
20:17.2,7320
20:17.4,7507
20:17.6,7700
20:17.8,7901
20:18.0,8109
20:18.2,8315
20:18.4,8510
20:18.6,8708
20:18.8,8904
20:19.0,9104
20:19.2,9308
20:19.4,9524
20:19.6,9737
20:19.8,9941
20:20.0,10136
20:20.2,10331
20:20.4,10525
20:20.6,10724
20:20.8,10937
20:21.0,11145
20:21.2,11341
20:21.4,11534
20:21.6,11716
20:21.8,11903
20:22.0,12083
20:22.2,12115
20:22.4,12115
20:22.6,12115
20:22.8,12115
20:23.0,12115
20:23.2,12115
20:23.4,12115
20:23.6,12115
20:23.8,12115
20:24.0,12115
20:24.2,12115
20:24.4,12115
20:24.6,12115
20:24.8,12115
20:25.0,12115
20:25.2,12115
20:25.4,12115
20:25.6,12115
20:25.8,12115
20:26.0,12115
20:26.2,12115
20:26.4,12115
20:26.6,12115
20:26.8,12115
20:27.0,12115
20:27.2,12115
20:27.4,12115
20:27.6,12115
20:27.8,12115
20:28.0,12115
20:28.1,12115
20:28.3,11948
20:28.5,11747
20:28.7,11567
20:28.9,11378
20:29.1,11182
20:29.3,10972
20:29.5,10765
20:29.7,10561
20:29.9,10361
20:30.1,10172
20:30.3,9996
20:30.5,9810
20:30.7,9623
20:30.9,9438
20:31.1,9256
20:31.3,9078
20:31.5,8900
20:31.7,8727
20:31.9,8558
20:32.1,8380
20:32.3,8198
20:32.5,8011
20:32.7,7822
20:32.9,7648
20:33.1,7469
20:33.3,7290
20:33.5,7123
20:33.7,6940
20:33.9,6757
20:34.1,6564
20:34.3,6377
20:34.5,6199
20:34.7,6018
20:34.9,5842
20:35.1,5671
20:35.3,5492
20:35.5,5303
20:35.7,5111
20:35.9,4926
20:36.1,4746
20:36.3,4565
20:36.5,4397
20:36.7,4233
20:36.9,4055
20:37.1,3871
20:37.3,3684
20:37.5,3495
20:37.7,3315
20:37.9,3136
20:38.1,2959
20:38.3,2781
20:38.5,2602
20:38.7,2410
20:38.9,2216
20:39.1,2028
20:39.3,1845
20:39.5,1669
20:39.7,1502
20:39.9,1342
20:40.1,1174
20:40.3,1006
20:40.5,831
20:40.7,655
20:40.9,556
20:41.1,547
20:41.3,547
20:41.5,547
20:41.7,547
20:41.9,547
20:42.1,547
20:42.3,547
20:42.5,547
20:42.7,547
20:42.9,547
20:43.1,547
20:43.3,547
20:43.5,547
20:43.7,547
20:43.9,547
20:44.1,547
20:44.3,547
20:44.5,547
20:44.7,547
20:44.9,547
20:45.1,547
20:45.3,547
20:45.5,547
20:45.7,547
20:45.9,547
20:46.1,547
20:46.3,546
20:46.5,759
20:46.7,962
20:46.9,1153
20:47.1,1333
20:47.3,1532
20:47.5,1717
20:47.7,1915
20:47.9,2120
20:48.1,2337
20:48.3,2546
20:48.5,2731
20:48.7,2923
20:48.9,3101
20:49.1,3275
20:49.3,3445
20:49.5,3634
20:49.7,3822
20:49.9,4003
20:50.1,4171
20:50.3,4339
20:50.5,4510
20:50.7,4683
20:50.9,4854
20:51.1,5039
20:51.3,5231
20:51.5,5418
20:51.7,5591
20:51.9,5768
20:52.1,5945
20:52.3,6126
20:52.5,6304
20:52.7,6497
20:52.9,6692
20:53.1,6889
20:53.3,7064
20:53.5,7248
20:53.7,7427
20:53.9,7608
20:54.1,7795
20:54.3,7994
20:54.5,8196
20:54.7,8387
20:54.9,8577
20:55.1,8769
20:55.3,8960
20:55.5,9151
20:55.7,9355
20:55.9,9563
20:56.1,9768
20:56.3,9964
20:56.5,10157
20:56.7,10342
20:56.9,10529
20:57.1,10720
20:57.3,10927
20:57.5,11133
20:57.7,11318
20:57.9,11499
20:58.1,11677
20:58.3,11852
20:58.5,12024
20:58.7,12201
20:58.9,12348
20:59.1,12347
20:59.3,12347
20:59.5,12347
20:59.7,12347
20:59.9,12347
21:00.1,12347
21:00.3,12347
21:00.5,12347
21:00.7,12347
21:00.9,12347
21:01.1,12347
21:01.3,12347
21:01.5,12347
21:01.7,12347
21:01.9,12347
21:02.1,12347
21:02.3,12347
21:02.5,12347
21:02.7,12347
21:02.9,12347
21:03.1,12347
21:03.3,12347
21:03.5,12347
21:03.7,12347
21:03.9,12347
21:04.1,12347
21:04.3,12347
21:04.5,12327
21:04.7,12116
21:04.9,11925
21:05.1,11739
21:05.3,11551
21:05.5,11361
21:05.7,11158
21:05.9,10947
21:06.1,10742
21:06.3,10544
21:06.5,10349
21:06.7,10166
21:06.9,9996
21:07.1,9819
21:07.3,9636
21:07.5,9447
21:07.7,9264
21:07.9,9089
21:08.1,8913
21:08.3,8737
21:08.5,8571
21:08.7,8395
21:08.9,8210
21:09.1,8022
21:09.3,7833
21:09.5,7659
21:09.7,7480
21:09.9,7304
21:10.1,7134
21:10.3,6956
21:10.5,6771
21:10.7,6577
21:10.9,6389
21:11.1,6209
21:11.3,6027
21:11.5,5848
21:11.7,5678
21:11.9,5497
21:12.1,5308
21:12.3,5114
21:12.5,4927
21:12.7,4748
21:12.9,4566
21:13.1,4397
21:13.3,4231
21:13.5,4050
21:13.7,3872
21:13.9,3681
21:14.1,3488
21:14.3,3313
21:14.5,3134
21:14.7,2956
21:14.9,2779
21:15.1,2600
21:15.3,2408
21:15.5,2213
21:15.7,2027
21:15.9,1844
21:16.1,1671
21:16.3,1503
21:16.5,1344
21:16.7,1178
21:16.9,1009
21:17.1,833
21:17.3,657
21:17.5,633
21:17.7,633
21:17.9,633
21:18.1,633
21:18.3,633
21:18.5,633
21:18.7,633
21:18.9,633
21:19.1,633
21:19.3,633
21:19.5,633
21:19.7,633
21:19.9,633
21:20.1,633
21:20.3,633
21:20.5,633
21:20.7,633
21:20.9,633
21:21.1,633
21:21.3,633
21:21.5,633
21:21.7,633
21:21.9,633
21:22.1,633
21:22.3,633
21:22.5,633
21:22.7,683
21:22.9,902
21:23.1,1096
21:23.3,1274
21:23.5,1463
21:23.7,1653
21:23.9,1851
21:24.1,2052
21:24.3,2267
21:24.5,2480
21:24.7,2671
21:24.9,2863
21:25.1,3050
21:25.3,3225
21:25.5,3395
21:25.7,3574
21:25.9,3764
21:26.1,3948
21:26.3,4116
21:26.5,4284
21:26.7,4456
21:26.9,4629
21:27.1,4801
21:27.3,4978
21:27.5,5174
