Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
11:54.9,0
11:55.1,0
11:55.3,0
11:55.5,0
11:55.7,0
11:55.9,0
11:56.1,0
11:56.3,0
11:56.5,0
11:56.7,0
11:56.9,0
11:57.1,0
11:57.3,0
11:57.5,0
11:57.7,0
11:57.9,0
11:58.1,0
11:58.3,0
11:58.5,0
11:58.7,0
11:58.9,0
11:59.1,0
11:59.3,0
11:59.5,0
11:59.7,0
11:59.9,0
12:00.1,0
12:00.3,0
12:00.5,0
12:00.7,0
12:00.9,0
12:01.1,0
12:01.3,0
12:01.5,0
12:01.7,0
12:01.9,0
12:02.1,0
12:02.3,0
12:02.5,0
12:02.7,0
12:02.9,0
12:03.1,0
12:03.3,0
12:03.5,0
12:03.7,0
12:03.9,0
12:04.1,0
12:04.3,0
12:04.5,0
12:04.7,0
12:04.9,0
12:05.1,0
12:05.3,0
12:05.5,0
12:05.7,0
12:05.9,0
12:06.1,0
12:06.3,0
12:06.5,0
12:06.7,0
12:06.9,0
12:07.1,0
12:07.3,0
12:07.5,0
12:07.7,0
12:07.9,0
12:08.1,0
12:08.3,0
12:08.5,0
12:08.7,0
12:08.9,0
12:09.1,0
12:09.3,0
12:09.5,0
12:09.7,0
12:09.9,0
12:10.1,0
12:10.3,0
12:10.5,0
12:10.7,0
12:10.9,0
12:11.1,0
12:11.3,0
12:11.5,0
12:11.7,0
12:11.9,0
12:12.1,0
12:12.3,0
12:12.5,0
12:12.7,0
12:12.9,0
12:13.1,0
12:13.3,0
12:13.5,0
12:13.7,0
12:13.9,0
12:14.1,0
12:14.3,0
12:14.5,0
12:14.7,0
12:14.9,0
12:15.1,0
12:15.3,0
12:15.5,0
12:15.7,0
12:15.9,0
12:16.1,0
12:16.3,0
12:16.5,0
12:16.7,0
12:16.9,0
12:17.1,0
12:17.3,0
12:17.5,0
12:17.7,0
12:17.9,0
12:18.1,0
12:18.3,0
12:18.5,0
12:18.7,0
12:18.9,0
12:19.1,0
12:19.3,0
12:19.5,0
12:19.7,0
12:19.9,0
12:20.1,0
12:20.3,0
12:20.5,0
12:20.7,0
12:20.9,0
12:21.1,0
12:21.3,0
12:21.5,0
12:21.7,0
12:21.9,0
12:22.1,0
12:22.3,0
12:22.5,0
12:22.7,0
12:22.9,0
12:23.1,0
12:23.3,0
12:23.5,0
12:23.7,0
12:23.9,0
12:24.1,0
12:24.3,0
12:24.5,0
12:24.7,0
12:24.9,0
12:25.1,0
12:25.3,0
12:25.5,0
12:25.7,0
12:25.9,0
12:26.1,0
12:26.3,0
12:26.5,0
12:26.7,0
12:26.9,0
12:27.1,0
12:27.3,0
12:27.5,0
12:27.7,0
12:27.9,0
12:28.1,0
12:28.3,0
12:28.5,0
12:28.7,0
12:28.9,0
12:29.1,0
12:29.3,0
12:29.5,0
12:29.7,0
12:29.9,0
12:30.1,0
12:30.3,0
12:30.5,0
12:30.7,0
12:30.9,0
12:31.1,0
12:31.3,0
12:31.5,0
12:31.7,0
12:31.9,0
12:32.1,100
12:32.3,399
12:32.5,690
12:32.7,1016
12:32.9,1333
12:33.1,1653
12:33.3,1954
12:33.5,2264
12:33.7,2582
12:33.9,2884
12:34.1,3181
12:34.3,3468
12:34.5,3769
12:34.7,4077
12:34.9,4372
12:35.1,4664
12:35.3,4949
12:35.5,5256
12:35.7,5564
12:35.9,5865
12:36.1,6154
12:36.3,6448
12:36.5,6760
12:36.7,7067
12:36.9,7378
12:37.1,7673
12:37.3,7973
12:37.5,8292
12:37.7,8601
12:37.9,8909
12:38.1,9217
12:38.3,9531
12:38.5,9859
12:38.7,10173
12:38.9,10482
12:39.1,10779
12:39.3,11099
12:39.5,11412
12:39.7,11716
12:39.9,12005
12:40.1,12293
12:40.3,12368
12:40.5,12368
12:40.7,12368
12:40.9,12368
12:41.1,12368
12:41.3,12368
12:41.5,12368
12:41.7,12368
12:41.9,12368
12:42.1,12368
12:42.3,12368
12:42.5,12368
12:42.7,12368
12:42.9,12368
12:43.1,12368
12:43.3,12368
12:43.5,12116
12:43.7,11831
12:43.9,11531
12:44.1,11217
12:44.3,10897
12:44.5,10589
12:44.7,10285
12:44.9,9997
12:45.1,9699
12:45.3,9405
12:45.5,9123
12:45.7,8840
12:45.9,8553
12:46.1,8262
12:46.3,7970
12:46.5,7684
12:46.7,7392
12:46.9,7105
12:47.1,6810
12:47.3,6515
12:47.5,6224
12:47.7,5934
12:47.9,5650
12:48.1,5343
12:48.3,5047
12:48.5,4750
12:48.7,4473
12:48.9,4185
12:49.1,3887
12:49.3,3589
12:49.5,3302
12:49.7,3017
12:49.9,2720
12:50.1,2422
12:50.3,2123
12:50.5,1830
12:50.7,1558
12:50.9,1284
12:51.1,990
12:51.3,717
12:51.5,452
12:51.7,201
12:51.9,-44
12:52.1,-112
12:52.3,-112
12:52.5,-112
12:52.7,-112
12:52.9,-112
12:53.1,-112
12:53.3,-112
12:53.5,-112
12:53.7,-112
12:53.9,-112
12:54.1,-112
12:54.3,-112
12:54.5,-112
12:54.7,-112
12:54.9,-112
12:55.1,-112
12:55.3,-112
12:55.5,-112
12:55.7,-112
12:55.9,-112
12:56.1,-112
12:56.3,-112
12:56.5,-112
12:56.7,-112
12:56.9,-112
12:57.1,-112
12:57.3,-112
12:57.5,-112
12:57.7,151
12:57.9,437
12:58.1,749
12:58.3,1068
12:58.5,1392
12:58.7,1704
12:58.9,2007
12:59.1,2321
12:59.3,2641
12:59.5,2941
12:59.7,3237
12:59.9,3523
13:00.1,3832
13:00.3,4136
13:00.5,4434
13:00.7,4727
13:00.9,5017
13:01.1,5327
13:01.3,5629
13:01.5,5930
13:01.7,6222
13:01.9,6520
13:02.1,6833
13:02.3,7145
13:02.5,7445
13:02.7,7742
13:02.9,8052
13:03.1,8371
13:03.3,8676
13:03.5,8984
13:03.7,9290
13:03.9,9615
13:04.1,9937
13:04.3,10248
13:04.5,10553
13:04.7,10857
13:04.9,11185
13:05.1,11494
13:05.3,11788
13:05.5,12078
13:05.7,12375
13:05.9,12423
13:06.1,12423
13:06.3,12423
13:06.5,12423
13:06.7,12423
13:06.9,12423
13:07.1,12423
13:07.3,12423
13:07.5,12423
13:07.7,12423
13:07.9,12423
13:08.1,12423
13:08.3,12423
13:08.5,12423
13:08.7,12423
13:08.9,12423
13:09.1,12423
13:09.3,12423
13:09.5,12423
13:09.7,12423
13:09.9,12423
13:10.1,12423
13:10.3,12423
13:10.5,12423
13:10.7,12423
13:10.9,12423
13:11.1,12423
13:11.3,12423
13:11.5,12423
13:11.7,12423
13:11.9,12147
13:12.1,11857
13:12.3,11561
13:12.5,11246
13:12.7,10920
13:12.9,10614
13:13.1,10304
13:13.3,10020
13:13.5,9727
13:13.7,9428
13:13.8,9141
13:14.1,8852
13:14.2,8570
13:14.4,8277
13:14.6,7979
13:14.8,7695
13:15.0,7408
13:15.2,7116
13:15.4,6824
13:15.6,6524
13:15.8,6230
13:16.0,5944
13:16.2,5652
13:16.4,5356
13:16.6,5053
13:16.8,4767
13:17.0,4483
13:17.2,4193
13:17.4,3892
13:17.6,3597
13:17.8,3312
13:18.0,3030
13:18.2,2741
13:18.4,2432
13:18.6,2136
13:18.8,1848
13:19.0,1570
13:19.2,1294
13:19.4,1003
13:19.6,718
13:19.8,460
13:20.0,201
13:20.2,-40
13:20.4,-156
13:20.6,-160
13:20.8,-160
13:21.0,-160
13:21.2,-160
13:21.4,-160
13:21.6,-160
13:21.8,-160
13:22.0,-160
13:22.2,-160
13:22.4,-160
13:22.6,-160
13:22.8,-160
13:23.0,-160
13:23.2,-160
13:23.4,-160
13:23.6,-160
13:23.8,-160
13:24.0,-160
13:24.2,-160
13:24.4,-160
13:24.6,-160
13:24.8,-160
13:25.0,-160
13:25.2,-160
13:25.4,-160
13:25.6,-160
13:25.8,-160
13:26.0,128
13:26.2,420
13:26.4,724
13:26.6,1045
13:26.8,1365
13:27.0,1681
13:27.2,1984
13:27.4,2297
13:27.6,2617
13:27.8,2920
13:28.0,3210
13:28.2,3499
13:28.4,3802
13:28.6,4109
13:28.8,4402
13:29.0,4693
13:29.2,4978
13:29.4,5288
13:29.6,5598
13:29.8,5898
13:30.0,6192
13:30.2,6494
13:30.4,6805
13:30.6,7110
13:30.8,7418
13:31.0,7713
13:31.2,8023
13:31.4,8341
13:31.6,8651
13:31.8,8954
13:32.0,9261
13:32.2,9583
13:32.4,9910
13:32.6,10222
13:32.8,10528
13:33.0,10832
13:33.2,11157
13:33.4,11472
13:33.6,11767
13:33.8,12060
13:34.0,12320
13:34.2,12316
13:34.4,12316
13:34.6,12316
13:34.8,12316
13:35.0,12316
13:35.2,12316
13:35.4,12316
13:35.6,12316
13:35.8,12316
13:36.0,12316
13:36.2,12316
13:36.4,12316
13:36.6,12316
13:36.8,12316
13:37.0,12316
13:37.2,12316
13:37.4,12316
13:37.6,12316
13:37.8,12316
13:38.0,12316
13:38.2,12316
13:38.4,12316
13:38.6,12316
13:38.8,12316
13:39.0,12316
13:39.2,12316
13:39.4,12316
13:39.6,12316
13:39.8,12316
13:40.0,12316
13:40.2,12033
13:40.4,11736
13:40.6,11444
13:40.8,11134
13:41.0,10820
13:41.2,10512
13:41.4,10225
13:41.6,9940
13:41.8,9644
13:42.0,9355
13:42.2,9075
13:42.4,8796
13:42.6,8515
13:42.8,8220
13:43.0,7933
13:43.2,7652
13:43.4,7368
13:43.6,7089
13:43.8,6793
13:44.0,6500
13:44.2,6217
13:44.4,5932
13:44.6,5653
13:44.8,5350
13:45.0,5059
13:45.2,4768
13:45.4,4496
13:45.6,4217
13:45.8,3924
13:46.0,3631
13:46.2,3348
13:46.4,3066
13:46.6,2791
13:46.8,2493
13:47.0,2197
13:47.2,1914
13:47.4,1638
13:47.6,1370
13:47.8,1097
13:48.0,812
13:48.2,553
13:48.4,292
13:48.6,64
13:48.8,-181
13:49.0,-206
13:49.2,-206
13:49.4,-206
13:49.6,-206
13:49.8,-206
13:50.0,-206
13:50.2,-206
13:50.4,-206
13:50.6,-206
13:50.8,-206
13:51.0,-206
13:51.2,-206
13:51.4,-206
13:51.6,-206
13:51.8,-206
13:52.0,-206
13:52.2,-206
13:52.4,-206
13:52.6,-206
13:52.8,-206
13:53.0,-206
13:53.2,-206
13:53.4,-206
13:53.6,-206
13:53.8,-206
13:54.0,-206
13:54.2,-207
13:54.4,106
13:54.6,392
13:54.8,689
13:55.0,1007
13:55.2,1320
13:55.4,1636
13:55.6,1936
13:55.8,2233
13:56.0,2548
13:56.2,2847
13:56.4,3140
13:56.6,3422
13:56.8,3715
13:57.0,4020
